n_qubits,n_layers,family,sre_mean,sre_std
6,1,random,0.34300935941724414,0.36862706432427195
6,2,random,0.6183171865601519,0.5446418294550234
6,4,random,1.063977650096827,0.7702851144002499
6,6,random,1.3835098283361211,0.9494361945877162
6,8,random,1.5489359078821845,1.0609244430633264
6,10,random,1.7649325134422231,1.0839365113707167
6,12,random,1.9929524909403076,1.135628376118476
6,14,random,2.0874005254331442,1.1484726689133735
6,16,random,2.1947024425997266,1.170969992216688
6,18,random,2.3489021927677096,1.2048733827717222
6,20,random,2.4172319820476695,1.2659454633608007
6,22,random,2.6383377102915464,1.2156128659681045
6,24,random,2.377897665865852,1.3015218528123558
6,26,random,2.809337311562683,1.176243565419884
6,28,random,2.6059221473416048,1.3423682637504477
6,30,random,2.7209221605545775,1.4248476251037405
6,32,random,2.665931751246431,1.4449407487151462
6,34,random,2.8634148535531545,1.4087694030298317
6,36,random,2.9103520999170307,1.402738222379566
6,38,random,2.7433468339871614,1.519966379541506
6,40,random,2.8794920133799313,1.38062748028433
6,42,random,3.0097900275247436,1.3485984402966738
6,44,random,2.9774531945266896,1.364954077852151
6,46,random,3.0313721723109484,1.3537947858665451
6,48,random,3.0463330553076715,1.3557269788840998
6,50,random,3.0666379647835025,1.401369415942779
6,52,random,3.253404225749629,1.327224767459613
6,54,random,3.193581492489736,1.3170178553534426
6,56,random,3.250994595132236,1.2646041039903664
6,58,random,3.3076681197594318,1.1791154202663434
6,60,random,3.204957144920315,1.2762005638559244
6,62,random,3.309558595184769,1.253128049400155
6,64,random,3.2425829086772033,1.324853936760128
6,66,random,3.5168175496746388,1.1507085926187741
6,68,random,3.398843387740531,1.2379072483685223
6,70,random,3.3836319254817706,1.2274818466150326
6,72,random,3.104764703163611,1.4845598723509739
6,74,random,3.415412149812494,1.2003740528907338
6,76,random,3.18369219170085,1.4156830617832685
6,78,random,3.373924034535885,1.3016070716053547
6,80,random,3.3254941899449166,1.2230428397187956
6,82,random,3.2312004053805556,1.4101837964761357
6,84,random,3.2051262887514063,1.4057342958950831
6,86,random,3.272731741102346,1.365202820731191
6,88,random,3.3986316799033167,1.2692024201332683
6,90,random,3.4205987793313604,1.260475903395686
6,92,random,3.277214734171118,1.3885621004475546
6,94,random,3.325919894996498,1.3103506932042606
6,96,random,3.5211228221442017,1.1105614567020587
6,98,random,3.249670738885512,1.3678022468390627
6,100,random,3.2916458887500424,1.3571739015721096
8,1,random,0.48987256799678497,0.47954985663258476
8,2,random,0.8769773120220219,0.6934278833055992
8,4,random,1.4336155269418045,1.0389438313008148
8,6,random,1.6303751712325694,1.257379847453949
8,8,random,2.182727954728263,1.2477064016538217
8,10,random,2.467977957416858,1.3638911257320006
8,12,random,2.5513303474090727,1.6391488417770896
8,14,random,2.852231014935699,1.6104021661156962
8,16,random,2.8603999652387575,1.7663050179149098
8,18,random,3.3214354548044502,1.7349584974800218
8,20,random,3.5149815258636536,1.6383035720473018
8,22,random,3.496347015457494,1.7815284209427649
8,24,random,3.7927025826488223,1.747789325871169
8,26,random,3.728288761788447,1.8893883763832067
8,28,random,3.9345897237534104,1.679461368661984
8,30,random,3.719809618597584,1.9563361509810575
8,32,random,3.877078724277339,1.9220320644762383
8,34,random,3.824560448524675,2.000512663594906
8,36,random,3.884369904241924,2.0948137774811983
8,38,random,4.2667280216717955,1.7381701318453686
8,40,random,4.316554808770972,1.8398746699331858
8,42,random,4.200498103946198,2.0693141683259233
8,44,random,4.349057425122176,1.9352796964461032
8,46,random,4.361908021417579,1.999927120139525
8,48,random,4.4759631225307075,1.9528718578743578
8,50,random,4.504951004135822,1.9598132941552084
8,52,random,4.57349357288863,1.872727126590556
8,54,random,4.519368030961071,2.002606776224863
8,56,random,4.4831341843090815,2.0516159347889253
