n_qubits,n_layers,family,sre_mean,sre_std
6,114,clifford,4.077521212895712,0.033395592825315866
6,116,clifford,4.0744959831237795,0.039803535858872946
6,118,clifford,4.0841959317525225,0.046647684956189484
6,120,clifford,4.066327015558879,0.04602531134602812
6,122,clifford,4.069667021433513,0.05480832049548077
6,124,clifford,4.061195929845174,0.05561780090821547
6,126,clifford,4.068705622355143,0.04124040345751563
6,128,clifford,4.053900178273519,0.04768366730861808
6,130,clifford,4.078486522038777,0.04635794860994631
6,132,clifford,4.047619454065958,0.03729216092976377
6,134,clifford,4.075236399968465,0.032674635510074136
6,136,clifford,4.062984275817871,0.049344046012516594
6,138,clifford,4.070037714640299,0.04269234238725478
6,140,clifford,4.059453105926513,0.05757081798139356
6,142,clifford,4.080985832214355,0.03018039682647865
6,144,clifford,4.073473119735718,0.048776544440526044
6,146,clifford,4.080184841156006,0.04266628793798078
6,148,clifford,4.079871431986491,0.049563071214249556
6,150,clifford,4.069631195068359,0.051676691373461606
8,1,clifford,2.0074805928458795e-15,1.1323665611294724e-15
8,2,clifford,0.38736834526062114,0.29207499240412926
8,4,clifford,0.6766577243804934,0.4084227679877396
8,6,clifford,1.3768558661142984,0.5991682272332332
8,8,clifford,1.74639732837677,0.7093859397928749
8,10,clifford,2.1300445159276324,0.7833910948674913
8,12,clifford,2.574645256996155,0.7777399121093895
8,14,clifford,2.8128077189127603,0.8907002096508215
8,16,clifford,2.9450249036153155,0.8316013114596918
8,18,clifford,4.184260129928589,0.8830845474927382
8,20,clifford,3.80735502243042,0.7287473936532041
8,22,clifford,3.9523778359095254,1.1306923443552186
8,24,clifford,4.202538681030274,1.133040562628255
8,26,clifford,5.04164539972941,0.5169714591839345
8,28,clifford,5.29027214050293,0.8135676895981167
8,30,clifford,5.297764746348063,0.6791837823714777
8,32,clifford,4.989726638793945,0.7793795070000669
8,34,clifford,5.526441319783529,0.3413580266705785
8,36,clifford,5.465972264607747,0.538549816592835
8,38,clifford,5.801677862803142,0.1387004990578874
8,40,clifford,5.855689398447672,0.14101667528910877
8,42,clifford,5.799107519785563,0.19234940148462987
8,44,clifford,5.892363611857096,0.2508669979272151
8,46,clifford,5.861908721923828,0.14893470678471943
8,48,clifford,5.972167046864827,0.05784929754687806
8,50,clifford,5.965281963348389,0.1429646953365839
8,52,clifford,5.941020870208741,0.1630496431230258
8,54,clifford,5.924842993418376,0.16314543919600377
8,56,clifford,5.98997220993042,0.03793419034349014
8,58,clifford,5.985803349812826,0.0621012487429871
8,60,clifford,5.937816619873047,0.22044176611991514
8,62,clifford,6.000341447194417,0.019645732450595595
8,64,clifford,6.007253964742024,0.016590846387760566
8,66,clifford,5.996258544921875,0.028832062159808464
8,68,clifford,6.013721656799317,0.016885437633769873
8,70,clifford,6.001141103108724,0.025580231352054734
8,72,clifford,6.0072726567586265,0.021692331766123278
8,74,clifford,6.005202960968018,0.0179293548231306
8,76,clifford,6.010046195983887,0.016909418145102068
8,78,clifford,6.013425572713216,0.013506570966941656
8,80,clifford,5.982351144154866,0.1124188716739934
8,82,clifford,6.009633255004883,0.03346262011285006
8,84,clifford,6.007881100972494,0.02709936513057875
8,86,clifford,6.011033757527669,0.012212761758803809
8,88,clifford,5.9962716420491535,0.05403819141981666
8,90,clifford,5.9935864766438804,0.0680143477317235
8,92,clifford,6.017288303375244,0.011415180185703144
8,94,clifford,5.989493052164714,0.08661141281158873
8,96,clifford,6.0068291028340655,0.027629647650688195
8,98,clifford,6.010702133178711,0.018132584281254447
8,100,clifford,6.013827196756998,0.010869308004503572
8,102,clifford,5.994268417358398,0.0585868486881527
8,104,clifford,6.009812068939209,0.014696428842411215
8,106,clifford,6.009827931722005,0.019332981956562297
8,108,clifford,6.011318143208822,0.01155164103761996
8,110,clifford,5.988333479563395,0.07922467545659677
8,112,clifford,6.019687525431315,0.02084823693782692
8,114,clifford,6.012066237131754,0.016358503464636822
8,116,clifford,6.012195110321045,0.014984298640654646
8,118,clifford,6.006544017791748,0.04107117043466545
8,120,clifford,6.011314805348714,0.01821772970600213
8,122,clifford,6.001794656117757,0.041717488501896015
8,124,clifford,6.020792611440023,0.012970756530830864
8,126,clifford,6.015891488393148,0.015044861883636509
8,128,clifford,6.002975654602051,0.03930726167705625
8,130,clifford,6.011449209849039,0.016480888842603434
8,132,clifford,6.022418371836344,0.012543006481931952
8,134,clifford,6.008413410186767,0.017211066634530627
8,136,clifford,6.014967759450276,0.018710069973212767
8,138,clifford,6.0150148391723635,0.014947121160533067
8,140,clifford,6.018127346038819,0.01564218005814153
8,142,clifford,6.014589055379232,0.01136733582740833
8,144,clifford,6.019013786315918,0.011640699499346008
8,146,clifford,6.016108608245849,0.01280000368663143
8,148,clifford,6.023816617329915,0.009260389447905205
