n_qubits,n_layers,family,sre_mean,sre_std,sre_min,sre_max
4,62,random,2.228662204742432,0.10407120405674657,2.031859874725342,2.384375810623169
4,64,clifford,2.270010789235433,0.12955853585093485,1.9881634712219238,2.432795763015747
4,64,haar,2.276177755991618,0.11489660778544719,1.9933884143829346,2.468708038330078
4,64,quansistor,2.317027727762858,0.0882616953645283,2.128908634185791,2.4732139110565186
4,64,random,2.2463497002919515,0.1111923913590973,2.035900592803955,2.405207395553589
4,66,clifford,2.1928914705912272,0.12937177046578163,2.0040619373321533,2.391763687133789
4,66,haar,2.282647403081258,0.11994891682659148,2.0464444160461426,2.471872091293335
4,66,quansistor,2.2682308038075765,0.12842251249013883,2.002105236053467,2.4636332988739014
4,66,random,2.2368733565012615,0.15252779269735933,1.7887752056121826,2.418154716491699
4,68,clifford,2.2830091953277587,0.15572314485442287,1.8942081928253174,2.4468517303466797
4,68,haar,2.232731024424235,0.10895075172360208,2.009445905685425,2.381682872772217
4,68,quansistor,2.2750371297200522,0.11372415323874586,2.0921273231506348,2.477492332458496
4,68,random,2.2734878063201904,0.08114885299730507,2.1574666500091553,2.4433228969573975
4,70,clifford,2.2850934664408364,0.10213501295029037,2.059018135070801,2.440199613571167
4,70,haar,2.2773004531860352,0.09870034063747123,1.981088638305664,2.366978883743286
4,70,quansistor,2.2810049374898274,0.08300850085731759,2.1146492958068848,2.3880162239074707
4,70,random,2.2355764230092365,0.15611271993804046,1.8984185457229614,2.4680356979370117
4,72,clifford,2.2390853563944497,0.10483602566058045,1.9900658130645752,2.4124112129211426
4,72,haar,2.249948803583781,0.1214056543783587,2.0086662769317627,2.44488263130188
4,72,quansistor,2.2511302789052325,0.11888768012731585,1.908982753753662,2.3819215297698975
4,72,random,2.2667133092880247,0.1244067275529041,1.9523628950119019,2.420776605606079
4,74,clifford,2.2453439235687256,0.14313976072512472,1.973628282546997,2.4362576007843018
4,74,haar,2.1864369471867877,0.138585113004137,1.8093825578689575,2.3679113388061523
4,74,quansistor,2.2504668553670246,0.1585645670331509,1.8078351020812988,2.468792676925659
4,74,random,2.217015520731608,0.11355160646747671,2.0369508266448975,2.3988873958587646
4,76,clifford,2.258155330022176,0.08077785817229541,2.099985122680664,2.373142719268799
4,76,haar,2.230505021413167,0.17938492082622753,1.6882750988006592,2.456895589828491
4,76,quansistor,2.3108027935028077,0.046901682024579054,2.232144355773926,2.379511833190918
4,76,random,2.2564489364624025,0.09929577682212715,2.046928882598877,2.4438936710357666
4,78,clifford,2.217592883110046,0.15636640808885652,1.898025393486023,2.4026918411254883
4,78,haar,2.2747318108876544,0.12013408512578315,2.021517515182495,2.466141700744629
4,78,quansistor,2.260919729868571,0.12864200347614807,2.032386064529419,2.505308151245117
4,78,random,2.2469991048177085,0.10007852690950293,2.063112735748291,2.3937795162200928
4,80,clifford,2.274741792678833,0.0698603935571939,2.143620491027832,2.401860237121582
4,80,haar,2.2534290313720704,0.11165084824828199,1.90824294090271,2.363051652908325
4,80,quansistor,2.25993869304657,0.1515468658834877,1.9259675741195679,2.4531068801879883
4,80,random,2.219824481010437,0.14899309421810944,1.8486260175704956,2.3914947509765625
4,82,clifford,2.285933780670166,0.11327829488260374,2.041344404220581,2.4346437454223633
4,82,haar,2.246398941675822,0.12994397116218395,2.0013203620910645,2.437361240386963
4,82,quansistor,2.262757078806559,0.09896359803996262,2.0723466873168945,2.405846118927002
4,82,random,2.300798749923706,0.0892904577886027,2.1583096981048584,2.4669461250305176
4,84,clifford,2.2496601343154907,0.15156217845086825,1.8360546827316284,2.416456699371338
4,84,haar,2.2439978679021197,0.18046108749553713,1.7477638721466064,2.410590648651123
4,84,quansistor,2.216419061024984,0.18665339377325493,1.7265278100967407,2.4989492893218994
4,84,random,2.2553532203038533,0.13059342715300026,1.9871164560317993,2.407636880874634
4,86,clifford,2.2844087441762286,0.09759773498022795,2.0614421367645264,2.435457468032837
4,86,haar,2.2578498204549153,0.07795152977947772,2.117856502532959,2.377534866333008
4,86,quansistor,2.2410585085550943,0.10195611509880143,2.066211462020874,2.453038454055786
4,86,random,2.2423301537831626,0.12842875992338068,1.972759485244751,2.4284534454345703
4,88,clifford,2.2806955019632977,0.09593878949507732,2.056389570236206,2.4355876445770264
4,88,haar,2.2830354531606036,0.08269833843556754,2.145080089569092,2.4568395614624023
4,88,quansistor,2.225116244951884,0.10230744986282007,1.9985929727554321,2.3579719066619873
4,88,random,2.259324590365092,0.1326359612745894,1.9028764963150024,2.396136522293091
4,90,clifford,2.2855257987976074,0.11715639977198576,2.0719029903411865,2.483356475830078
4,90,haar,2.2778852462768553,0.14532478534218077,2.0587735176086426,2.481884002685547
4,90,quansistor,2.2500954627990724,0.09960601533973035,1.9978222846984863,2.3686020374298096
4,90,random,2.2628658612569175,0.10466293763867454,2.0884037017822266,2.463980197906494
4,92,clifford,2.2559651056925456,0.1196590226722693,2.0124776363372803,2.3896749019622803
4,92,haar,2.210974415143331,0.13840519938797136,1.9009222984313965,2.373995542526245
4,92,quansistor,2.2751713196436563,0.12843829946472782,1.9796375036239624,2.4288742542266846
4,92,random,2.2320010662078857,0.11844541642506012,1.95699143409729,2.388849973678589
4,94,clifford,2.299151547749837,0.07875276956659791,2.1461548805236816,2.398008108139038
4,94,haar,2.2291662534077963,0.09227450855542262,2.067023754119873,2.379667043685913
4,94,quansistor,2.188368320465088,0.190507177032039,1.7948455810546875,2.415069580078125
4,94,random,2.2441081841786703,0.1879843055314941,1.8028801679611206,2.4867987632751465
4,96,clifford,2.2297581513722737,0.17000259257843614,1.8157150745391846,2.4516215324401855
4,96,haar,2.2432069619496664,0.09093441168205042,2.107090473175049,2.4189536571502686
4,96,quansistor,2.22054545879364,0.15913099570347528,1.8196061849594116,2.4392194747924805
4,96,random,2.1740338881810506,0.19606361702713287,1.7150566577911377,2.4284820556640625
4,98,clifford,2.310228435198466,0.11426307915292783,1.9830509424209595,2.4725263118743896
4,98,haar,2.211403735478719,0.13123381631523476,1.9033761024475098,2.4173495769500732
4,98,quansistor,2.213111098607381,0.14024576479454842,1.987670660018921,2.370683431625366
4,98,random,2.2947240352630613,0.1094456784642244,2.0602691173553467,2.450838327407837
4,100,clifford,2.258560609817505,0.12532589129246602,2.0600333213806152,2.458702802658081
4,100,haar,2.2529943704605104,0.13125643276821028,1.9866865873336792,2.4680228233337402
4,100,quansistor,2.239107624689738,0.09755634897949839,2.049997329711914,2.37554931640625
4,100,random,2.206528425216675,0.16887913831010537,1.8781378269195557,2.490790843963623
4,102,clifford,2.2582007090250653,0.11383724780464786,2.1065993309020996,2.4644017219543457
4,102,haar,2.204993502298991,0.11846372777396356,1.9672048091888428,2.3583388328552246
4,102,quansistor,2.2797911008199057,0.12056345312266968,2.0692155361175537,2.4410758018493652
4,102,random,2.2844753742218016,0.10881224482267376,2.02286958694458,2.472198724746704
4,104,clifford,2.2803518613179525,0.14384073496708125,2.0435574054718018,2.479975700378418
4,104,haar,2.2549157619476317,0.12712603937603723,2.077176809310913,2.4295177459716797
4,104,quansistor,2.2688673973083495,0.10831651739731764,2.0524814128875732,2.403186559677124
4,104,random,2.224002973238627,0.1507791102651542,1.8889381885528564,2.377030611038208
4,106,clifford,2.2321256001790366,0.11106215287335618,2.0813801288604736,2.411694049835205
4,106,haar,2.260266590118408,0.09394676372220685,2.075789213180542,2.4020142555236816
4,106,quansistor,2.2319735368092855,0.12249025258326295,1.974326729774475,2.418980360031128
4,106,random,2.2584684530893964,0.13978123508148027,2.004948616027832,2.4638359546661377
4,108,clifford,2.260104004542033,0.11243738599750759,2.100857734680176,2.539344549179077
4,108,haar,2.1677525281906127,0.27178334117119846,1.5552877187728882,2.4645917415618896
4,108,quansistor,2.1904900471369424,0.15458051659720337,1.8807361125946045,2.424384117126465
4,108,random,2.2726136763890583,0.21026152246863908,1.5651878118515015,2.4386978149414062
